modelo,parámetro,declara_la_tabla,observado,evidencia,fecha_prueba_utc,coincide,error_literal
gpt-4o-mini,temperature,si,aceptado y actúa,"distintas: T0=1, BASE=7 (de 8)",2026-09-19,sí,
gpt-4o-mini,top_p,si,aceptado y actúa,"distintas: TOPP_BAJO=1, BASE=7 (de 8)",2026-09-19,sí,
gpt-4o-mini,top_k,no,rechazado,todas las sondas devolvieron error: 40,2026-09-19,sí,"[defecto] BadRequestError | codigo=400 | mensaje=Error code: 400 - {'error': {'message': ""Unknown parameter: 'top_k'. Did you mean 'top_p'?"", 'type': 'invalid_request_error', 'param': 'top_k', 'code': 'unknown_parameter'}} | cuerpo={'message': ""Unknown parameter: 'top_k'. Did you mean 'top_p'?"", 'type': 'invalid_request_error', 'param': 'top_k', 'code': 'unknown_parameter'}"
gpt-5.6-luna,temperature,no_en_esta_fila,effort=medium(defecto): solo_valor_por_defecto | effort=none: aceptado y actúa,"[effort=medium(defecto)] acepta ['1.0'] y rechaza ['1.6'] | [effort=none] distintas: T0=1, BASE=5 (de 8)",2026-09-19,NO — discrepancia,"[effort=medium(defecto)] BadRequestError | codigo=400 | mensaje=Error code: 400 - {'error': {'message': ""Unsupported parameter: 'temperature' is not supported with this model."", 'type': 'invalid_request_error', 'param': 'temperature', 'code': None}} | cuerpo={'message': ""Unsupported parameter: 'temperature' is not supported with this model."", 'type': 'invalid_request_error', 'param': 'temperature', 'code': None}"
gpt-5.6-luna,top_p,no_en_esta_fila,effort=medium(defecto): rechazado | effort=none: aceptado y actúa,"[effort=medium(defecto)] todas las sondas devolvieron error: 0.01, 1.0 | [effort=none] distintas: TOPP_BAJO=1, BASE=5 (de 8)",2026-09-19,NO — discrepancia,"[effort=medium(defecto)] BadRequestError | codigo=400 | mensaje=Error code: 400 - {'error': {'message': ""Unsupported parameter: 'top_p' is not supported with this model."", 'type': 'invalid_request_error', 'param': 'top_p', 'code': None}} | cuerpo={'message': ""Unsupported parameter: 'top_p' is not supported with this model."", 'type': 'invalid_request_error', 'param': 'top_p', 'code': None}"
gpt-5.6-luna,top_k,no,effort=medium(defecto): rechazado | effort=none: rechazado,[effort=medium(defecto)] todas las sondas devolvieron error: 40 | [effort=none] todas las sondas devolvieron error: 40,2026-09-19,sí,"[effort=medium(defecto)] BadRequestError | codigo=400 | mensaje=Error code: 400 - {'error': {'message': ""Unknown parameter: 'top_k'. Did you mean 'top_p'?"", 'type': 'invalid_request_error', 'param': 'top_k', 'code': 'unknown_parameter'}} | cuerpo={'message': ""Unknown parameter: 'top_k'. Did you mean 'top_p'?"", 'type': 'invalid_request_error', 'param': 'top_k', 'code': 'unknown_parameter'} || [effort=none] BadRequestError | codigo=400 | mensaje=Error code: 400 - {'error': {'message': ""Unknown parameter: 'top_k'. Did you mean 'top_p'?"", 'type': 'invalid_request_error', 'param': 'top_k', 'code': 'unknown_parameter'}} | cuerpo={'message': ""Unknown parameter: 'top_k'. Did you mean 'top_p'?"", 'type': 'invalid_request_error', 'param': 'top_k', 'code': 'unknown_parameter'}"
qwen3:1.7b,temperature,si,aceptado y actúa,"distintas: T0=1, BASE=8 (de 8)",2026-09-19,sí,
qwen3:1.7b,top_p,si,aceptado y actúa,"distintas: TOPP_BAJO=1, BASE=8 (de 8)",2026-09-19,sí,
qwen3:1.7b,top_k,si,aceptado y actúa,"distintas: TOPK1=1, BASE=8 (de 8)",2026-09-19,sí,
