nivel,llamadas_ok,aciertos,exactitud_pct,ic95_lo,ic95_hi,acc_min_corrida,acc_max_corrida,razon_media,razon_sd,razon_min,razon_max,visibles_media,salida_total_media,latencia_media_s,latencia_mediana_s,costo_por_1000_USD,costo_total_USD,USD_por_correcta,truncadas
none,30,27,90.0,74.378559,96.540074,90.0,90.0,0.0,0.0,0,0,5.9,5.9,1.01018,0.9478,0.01522,0.000457,1.7e-05,0
low,30,30,100.0,88.648291,100.0,100.0,100.0,25.366667,10.169201,0,44,7.766667,33.133333,1.278553,1.1212,0.0479,0.001437,4.8e-05,0
medium,30,30,100.0,88.648291,100.0,100.0,100.0,27.9,8.306001,14,44,7.9,35.8,1.15261,1.12535,0.0511,0.001533,5.1e-05,0
high,30,30,100.0,88.648291,100.0,100.0,100.0,29.833333,9.5415,17,56,7.9,37.733333,1.13989,1.13175,0.05342,0.001603,5.3e-05,0
xhigh,30,30,100.0,88.648291,100.0,100.0,100.0,33.5,14.313606,18,81,7.9,41.4,1.447617,1.13105,0.05782,0.001735,5.8e-05,0
max,30,30,100.0,88.648291,100.0,100.0,100.0,40.166667,22.430096,22,117,7.9,48.066667,1.270737,1.2205,0.06582,0.001975,6.6e-05,0
